[0]	0
[1]	0
[1,2]	1
[2,1]	1
[1,2,3]	2
[1,3,2]	2
[3,2,1]	1
[2,3,1]	1
[1,1,1,1]	3
[1,2,0,1]	2
[1,2,3,4]	2
[4,3,2,1]	1
[1,1,1,1,1]	4
[1,1,1,2,1]	4
[1,1,2,1,1]	3
[1,2,1,1,1]	3
[2,1,1,1,1]	3
[2,0,2,0,1]	2
[1,1,3,1,1]	3
[1,3,1,1,1]	2
[3,1,1,1,1]	2
[2,3,1,1,4]	2
[5,4,3,2,1]	1
[1,2,3,4,5]	3
[4,1,1,3,1,1,1]	2
[3,4,3,2,5,4,3]	3
[2,0,1]	1
[2,2,0,1]	2
[2,0,1,1]	2
[3,0,2,0,3]	2
[2,0,2,4,6,0,0,3]	3
[3,4,3,1,0,7,0,3,0,2,0,3]	3
[5,9,3,2,1,0,2,3,3,1,0,0]	3
[10,9,8,7,6,5,4,3,2,1,1,0]	2
[7,0,9,6,9,6,1,7,9,0,1,2,9,0,3]	2
[9,7,9,4,8,1,6,1,5,6,2,1,7,9,0]	2
[5,2,1,2,5,2,6,8,1,9,3,5,8,0,2]	3
[5,2,1,2,5,2,6,8,1,9,3,5,8,0,2]	3
[3,1,9,0,4,4,8,4,7,0,8,4,3,1,2]	3
[9,8,2,2,0,2,2,0,4,1,5,7,9,6,6,0,6,5,0,5]	3
