[[0]]	[[0]]
[[1]]	[[1]]
[[0,1]]	[[0,0]]
[[1,0]]	[[0,0]]
[[0],[1]]	[[0],[0]]
[[1],[0]]	[[0],[0]]
[[1,0,3]]	[[0,0,0]]
[[1,3,0]]	[[0,0,0]]
[[1],[0],[3]]	[[0],[0],[0]]
[[1],[3],[0]]	[[0],[0],[0]]
[[0,0,0,5],[4,3,1,4],[0,1,1,4],[1,2,1,3],[0,0,1,1]]	[[0,0,0,0],[0,0,0,4],[0,0,0,0],[0,0,0,3],[0,0,0,0]]
[[1,1,1],[0,1,2]]	[[0,1,1],[0,0,0]]
[[1,2,3,4],[5,0,5,2],[8,9,2,0],[5,7,2,1]]	[[1,0,3,0],[0,0,0,0],[0,0,0,0],[5,0,2,0]]
[[-4,-2147483648,6,-7,0],[-8,6,-8,-6,0],[2147483647,2,-9,-6,-10]]	[[0,0,0,0,0],[0,0,0,0,0],[2147483647,2,-9,-6,0]]
[[-5,7,2147483647,3],[0,3,6,-2147483648],[8,3,-3,-6],[-9,-9,8,0]]	[[0,7,2147483647,0],[0,0,0,0],[0,3,-3,0],[0,0,0,0]]
[[9,-6,-1,-2,5],[-1,3,2147483647,-4,0],[-3,-4,0,4,-2147483648]]	[[9,-6,0,-2,0],[0,0,0,0,0],[0,0,0,0,0]]
[[2147483647,2,9],[2,6,7],[1,8,8],[5,0,1],[9,6,0]]	[[2147483647,0,0],[2,0,0],[1,0,0],[0,0,0],[0,0,0]]
[[0,2,5,2,2],[2,2,5,8,9],[3,2,9,5,8],[8,6,9,8,9],[2147483647,5,1,6,1]]	[[0,0,0,0,0],[0,2,5,8,9],[0,2,9,5,8],[0,6,9,8,9],[0,5,1,6,1]]
[[0,5,6,6,9],[7,0,3,3,1],[1,-2147483648,7,2147483647,8]]	[[0,0,0,0,0],[0,0,0,0,0],[0,0,7,2147483647,8]]
[[9,3,5,7,2],[7,2,9,2147483647,4],[-2147483648,7,3,6,9],[7,1,3,2,0]]	[[9,3,5,7,0],[7,2,9,2147483647,0],[-2147483648,7,3,6,0],[0,0,0,0,0]]
