""	0	
"1"	1	
"+1"	1	
"-1"	-1	
"123"	123	
"-123"	-123	
"010"	10	
"    010"	10	
"     +004500"	4500	
"    -00134"	-134	
"  -0012a42"	-12	
"    +0a32"	0	
"   -04f"	-4	
"  -0k4"	0	
"   +0 123"	0	
"  -0 451"	0	
"+00131204"	131204	
"-01324000"	-1324000	
"2147483647"	2147483647	
"-2147483647"	-2147483647	
"-2147483648"	-2147483648	
"2147483648"	2147483647	
"-2147483649"	-2147483648	
"abc"	0	
"-abc"	0	
"1a"	1	
"23a8f"	23	
"-3924x8fc"	-3924	
"   321"	321	
"   -321"	-321	
"123  456"	123	
"123   "	123	
"   - 321"	0	
"   +4488"	4488	
"  +  413"	0	
" ++c"	0	
" ++1"	0	
" --2"	0	
"  -2"	-2	
"   -1123u3761867"	-1123	
" -1010023630o4"	-1010023630	
"      -11919730356x"	-2147483648	
"   -115579378e25"	-115579378	
"+11e530408314"	11	
"       1056706k5060"	1056706	
"       1097374o8436"	1097374	
" 1181q6036770"	1181	
"        112469032d53"	112469032	
"    100382k07066"	100382	
"    +11191657170"	2147483647	
"  +b12102370352"	0	
"         +114249g23041"	114249	
"      +1t0789622140"	1	
"  +1107733j9174"	1107733	
"         -115953x15829"	-115953	
"     10061298n217"	10061298	
"     +106q50444874"	106	
"         -117470i14284"	-117470	
"+11774694q241"	11774694	
"  +1082654g3198"	1082654	
"  -12012g839367"	-12012	
"   +104344g05976"	104344	
"  +m12051113479"	0	
"     1l1361065549"	1	
"  -1161u5975242"	-1161	
"+104n95155381"	104	
"      -118459t72270"	-118459	
"   +101266g29706"	101266	
"100016137x55"	100016137	
"      119m87318827"	119	
"   10171j491675"	10171	
"    -1124r9148442"	-1124	
"-11422l330653"	-11422	
"       11h006164027"	11	
"-110415z08667"	-110415	
"  -117443l40650"	-117443	
"     1q1500003893"	1	
"        110r93447836"	110	
" b11228552307"	0	
"        11853283s817"	11853283	
"         -102s20633841"	-102	
"   +1192736m0625"	1192736	
"        11242w475144"	11242	
" +119z99483017"	119	
" 117180759q43"	117180759	
"  +1q0384297885"	1	
"         -1034946q1019"	-1034946	
"   11810097701"	2147483647	
"115784825v67"	115784825	
" 1030q2849284"	1030	
"    -120m15417222"	-120	
"1095502006p8"	1095502006	
"        r11384376420"	0	
"    10522545459"	2147483647	
" +1u0557196150"	1	
" 10315g546111"	10315	
"   +o11950655481"	0	
"    1052223016k4"	1052223016	
"       1206z8519909"	1206	
"     -115a64905859"	-115	
"     1191597x7433"	1191597	
"         1094m3066812"	1094	
"  -11e108407863"	-11	
"       +1b0199795879"	1	
"        -12y037830304"	-12	
"     -11009215950h"	-2147483648	
"       +1o0766527004"	1	
"        -12003300612"	-2147483648	
" 1175109307q7"	1175109307	
"    +10901490481"	2147483647	
"+11586828692"	2147483647	
"  +109193501x70"	109193501	
"        +11245577259q"	2147483647	
"       -108520f86263"	-108520	
"       +11n442792006"	11	
"        109735c30764"	109735	
"     z12067693647"	0	
"  +10x432724148"	10	
"   +11049690138"	2147483647	
"       11504069574n"	2147483647	
"      y11131660500"	0	
"         +10523538441s"	2147483647	
"       1n1582390204"	1	
