{}	[]
{1}	[[1]]
{1,2}	[[1],[2]]
{1,#,2}	[[1],[2]]
{1,2,3}	[[1],[3,2]]
{1,2,3,4,5}	[[1],[3,2],[4,5]]
{1,2,3,4,#,#,5}	[[1],[3,2],[4,5]]
{3,9,20,#,#,15,7}	[[3],[20,9],[15,7]]
{1,2,#,3,#,4,#,5}	[[1],[2],[3],[4],[5]]
{2,#,3,#,4,#,5,#,6}	[[2],[3],[4],[5],[6]]
{0,2,4,1,#,3,-1,5,1,#,6,#,8}	[[0],[4,2],[1,3,-1],[8,6,1,5]]
{-8,-6,7,6,#,#,#,#,5}	[[-8],[7,-6],[6],[5]]
{-8,3,0,-8,#,#,#,#,-1,#,8}	[[-8],[0,3],[-8],[-1],[8]]
{3,4,5,-7,-6,#,#,-7,#,-5,#,#,#,-4}	[[3],[5,4],[-7,-6],[-5,-7],[-4]]
{7,-7,8,#,#,-3,6,#,9,#,#,#,-5}	[[7],[8,-7],[-3,6],[9],[-5]]
{-9,-3,2,#,4,4,0,-6,#,-5}	[[-9],[2,-3],[4,4,0],[-5,-6]]
{0,-3,-2,-9,-8,#,#,2,#,#,-5,5}	[[0],[-2,-3],[-9,-8],[-5,2],[5]]
{-2,0,-1,#,3,0,#,6,#,5,-5}	[[-2],[-1,0],[3,0],[-5,5,6]]
{0,-4,-3,#,-1,8,#,#,3,#,-9,-2,#,4}	[[0],[-3,-4],[-1,8],[-9,3],[-2,4]]
{-1,-7,9,#,#,-1,-7,#,8,-9}	[[-1],[9,-7],[-1,-7],[-9,8]]
{9,#,2,0,#,-7,#,-1}	[[9],[2],[0],[-7],[-1]]
{5,0,-4,-1,-6,-9,#,7,#,1,3,#,0,#,9,#,#,6,0,#,-7,#,#,#,#,#,#,-4,#,1,#,#,-4}	[[5],[-4,0],[-1,-6,-9],[0,3,1,7],[9,6,0,-7],[-4],[1],[-4]]
