[2], 1	[]
[1], 1	[[1]]
[1], 2	[[1,1]]
[1,2], 1	[[1]]
[1,2], 2	[[1,1],[2]]
[1,2], 3	[[1,1,1],[1,2]]
[1,2], 4	[[1,1,1,1],[1,1,2],[2,2]]
[2,3], 5	[[2,3]]
[2,3], 6	[[2,2,2],[3,3]]
[2,3,5], 6	[[2,2,2],[3,3]]
[2,3,5], 7	[[2,2,3],[2,5]]
[2,3,5], 8	[[2,2,2,2],[2,3,3],[3,5]]
[3,5,7], 8	[[3,5]]
[3,5,7], 9	[[3,3,3]]
[3,5,7], 10	[[3,7],[5,5]]
[2,3,6,7], 7	[[2,2,3],[7]]
[8,7,4,3], 11	[[3,4,4],[3,8],[4,7]]
[7,3], 17	[[3,7,7]]
[7,3,2], 18	[[2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,3,3],[2,2,2,2,3,7],[2,2,2,3,3,3,3],[2,2,7,7],[2,3,3,3,7],[3,3,3,3,3,3]]
[5,9], 15	[[5,5,5]]
[7,3,6,5], 7	[[7]]
[3,2,6,7], 11	[[2,2,2,2,3],[2,2,7],[2,3,3,3],[2,3,6]]
[5], 12	[]
[4,2,8], 8	[[2,2,2,2],[2,2,4],[4,4],[8]]
[7,6,4], 11	[[4,7]]
[2,5,8,4], 10	[[2,2,2,2,2],[2,2,2,4],[2,4,4],[2,8],[5,5]]
[6,4], 13	[]
[4,5,2], 16	[[2,2,2,2,2,2,2,2],[2,2,2,2,2,2,4],[2,2,2,2,4,4],[2,2,2,5,5],[2,2,4,4,4],[2,4,5,5],[4,4,4,4]]
[2,3,8,4], 6	[[2,2,2],[2,4],[3,3]]
[9,5,2], 12	[[2,2,2,2,2,2],[2,5,5]]
[5,7,4,6,8], 13	[[4,4,5],[5,8],[6,7]]
[4,6], 18	[[4,4,4,6],[6,6,6]]
[5,7,6], 11	[[5,6]]
[3,5,8,9,6], 13	[[3,5,5],[5,8]]
[3,2,8], 18	[[2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,3,3],[2,2,2,2,2,8],[2,2,2,3,3,3,3],[2,2,3,3,8],[2,8,8],[3,3,3,3,3,3]]
[8,2,6,3], 13	[[2,2,2,2,2,3],[2,2,3,3,3],[2,2,3,6],[2,3,8]]
[3,8,5], 11	[[3,3,5],[3,8]]
[8,6,7,9], 5	[]
[2,9,5], 11	[[2,2,2,5],[2,9]]
[4,2,7,5,6], 16	[[2,2,2,2,2,2,2,2],[2,2,2,2,2,2,4],[2,2,2,2,2,6],[2,2,2,2,4,4],[2,2,2,4,6],[2,2,2,5,5],[2,2,4,4,4],[2,2,5,7],[2,2,6,6],[2,4,4,6],[2,4,5,5],[2,7,7],[4,4,4,4],[4,5,7],[4,6,6],[5,5,6]]
[7,4,5], 9	[[4,5]]
[2,7,9], 9	[[2,7],[9]]
[5,6,7], 12	[[5,7],[6,6]]
[3,8,4,6], 11	[[3,4,4],[3,8]]
[3,7,6], 13	[[3,3,7],[6,7]]
[7,3,9,6], 6	[[3,3],[6]]
[4,9,3,5], 13	[[3,3,3,4],[3,5,5],[4,4,5],[4,9]]
[2,6,5], 7	[[2,5]]
[9,4,5], 16	[[4,4,4,4]]
[5,4,2,3], 14	[[2,2,2,2,2,2,2],[2,2,2,2,2,4],[2,2,2,2,3,3],[2,2,2,3,5],[2,2,2,4,4],[2,2,3,3,4],[2,2,5,5],[2,3,3,3,3],[2,3,4,5],[2,4,4,4],[3,3,3,5],[3,3,4,4],[4,5,5]]
[6,7,3,9], 10	[[3,7]]
[2,6], 19	[]
[4,8], 15	[]
[4,7,2,9], 15	[[2,2,2,2,7],[2,2,2,9],[2,2,4,7],[2,4,9],[4,4,7]]
[5,6,9], 8	[]
[9,3,2,5], 14	[[2,2,2,2,2,2,2],[2,2,2,2,3,3],[2,2,2,3,5],[2,2,5,5],[2,3,3,3,3],[2,3,9],[3,3,3,5],[5,9]]
[2,7,9], 19	[[2,2,2,2,2,2,7],[2,2,2,2,2,9]]
[7,3,8,9], 10	[[3,7]]
[4,7,3], 16	[[3,3,3,3,4],[3,3,3,7],[4,4,4,4]]
[7,8,3], 10	[[3,7]]
[2,8], 13	[]
[7,6,8], 17	[]
[3,7], 18	[[3,3,3,3,3,3]]
[8,7,2], 6	[[2,2,2]]
[9,6,3], 16	[]
[4,8,7,3], 10	[[3,3,4],[3,7]]
[5,8,4], 18	[[4,4,5,5],[5,5,8]]
[3,12,9,11,6,7,8,5,4], 15	[[3,3,3,3,3],[3,3,3,6],[3,3,4,5],[3,3,9],[3,4,4,4],[3,4,8],[3,5,7],[3,6,6],[3,12],[4,4,7],[4,5,6],[4,11],[5,5,5],[6,9],[7,8]]
[9,10,8,4,12,5,7], 17	[[4,4,4,5],[4,4,9],[4,5,8],[5,5,7],[5,12],[7,10],[8,9]]
[11,7,10,3,6,4,8], 14	[[3,3,4,4],[3,3,8],[3,4,7],[3,11],[4,4,6],[4,10],[6,8],[7,7]]
[5,10,8,4,3,12,9], 27	[[3,3,3,3,3,3,3,3,3],[3,3,3,3,3,3,4,5],[3,3,3,3,3,3,9],[3,3,3,3,3,4,4,4],[3,3,3,3,3,4,8],[3,3,3,3,3,12],[3,3,3,3,5,5,5],[3,3,3,3,5,10],[3,3,3,4,4,5,5],[3,3,3,4,4,10],[3,3,3,4,5,9],[3,3,3,5,5,8],[3,3,3,8,10],[3,3,3,9,9],[3,3,4,4,4,4,5],[3,3,4,4,4,9],[3,3,4,4,5,8],[3,3,4,5,12],[3,3,4,8,9],[3,3,5,8,8],[3,3,9,12],[3,4,4,4,4,4,4],[3,4,4,4,4,8],[3,4,4,4,12],[3,4,4,8,8],[3,4,5,5,5,5],[3,4,5,5,10],[3,4,8,12],[3,4,10,10],[3,5,5,5,9],[3,5,9,10],[3,8,8,8],[3,12,12],[4,4,4,5,5,5],[4,4,4,5,10],[4,4,5,5,9],[4,4,9,10],[4,5,5,5,8],[4,5,8,10],[4,5,9,9],[5,5,5,12],[5,5,8,9],[5,10,12],[8,9,10],[9,9,9]]
[9,6,8,11,5,4], 34	[[4,4,4,4,4,4,4,6],[4,4,4,4,4,4,5,5],[4,4,4,4,4,5,9],[4,4,4,4,4,6,8],[4,4,4,4,5,5,8],[4,4,4,4,6,6,6],[4,4,4,4,9,9],[4,4,4,5,5,6,6],[4,4,4,5,6,11],[4,4,4,5,8,9],[4,4,4,6,8,8],[4,4,4,11,11],[4,4,5,5,5,5,6],[4,4,5,5,5,11],[4,4,5,5,8,8],[4,4,5,6,6,9],[4,4,6,6,6,8],[4,4,6,9,11],[4,4,8,9,9],[4,5,5,5,5,5,5],[4,5,5,5,6,9],[4,5,5,6,6,8],[4,5,5,9,11],[4,5,6,8,11],[4,5,8,8,9],[4,6,6,6,6,6],[4,6,6,9,9],[4,6,8,8,8],[4,8,11,11],[5,5,5,5,5,9],[5,5,5,5,6,8],[5,5,5,8,11],[5,5,6,6,6,6],[5,5,6,9,9],[5,5,8,8,8],[5,6,6,6,11],[5,6,6,8,9],[5,9,9,11],[6,6,6,8,8],[6,6,11,11],[6,8,9,11],[8,8,9,9]]
[6,9,7,4,5,3,10,12], 21	[[3,3,3,3,3,3,3],[3,3,3,3,3,6],[3,3,3,3,4,5],[3,3,3,3,9],[3,3,3,4,4,4],[3,3,3,5,7],[3,3,3,6,6],[3,3,3,12],[3,3,4,4,7],[3,3,4,5,6],[3,3,5,5,5],[3,3,5,10],[3,3,6,9],[3,4,4,4,6],[3,4,4,5,5],[3,4,4,10],[3,4,5,9],[3,4,7,7],[3,5,6,7],[3,6,6,6],[3,6,12],[3,9,9],[4,4,4,4,5],[4,4,4,9],[4,4,6,7],[4,5,5,7],[4,5,6,6],[4,5,12],[4,7,10],[5,5,5,6],[5,6,10],[5,7,9],[6,6,9],[7,7,7],[9,12]]
[5,6,7,11,8,12], 13	[[5,8],[6,7]]
[11,6,5,8,3,12,7,4], 12	[[3,3,3,3],[3,3,6],[3,4,5],[4,4,4],[4,8],[5,7],[6,6],[12]]
[8,10,7,6,12,9], 25	[[6,6,6,7],[6,7,12],[6,9,10],[7,8,10],[7,9,9],[8,8,9]]
[8,11,12,9,3,4], 20	[[3,3,3,3,4,4],[3,3,3,3,8],[3,3,3,11],[3,4,4,9],[3,8,9],[4,4,4,4,4],[4,4,4,8],[4,4,12],[4,8,8],[8,12],[9,11]]
[4,11,7,8,6,5,9], 17	[[4,4,4,5],[4,4,9],[4,5,8],[4,6,7],[5,5,7],[5,6,6],[6,11],[8,9]]
[10,11,6,4,8,5,3], 16	[[3,3,3,3,4],[3,3,4,6],[3,3,5,5],[3,3,10],[3,4,4,5],[3,5,8],[4,4,4,4],[4,4,8],[4,6,6],[5,5,6],[5,11],[6,10],[8,8]]
[10,9,5,3,6,11], 17	[[3,3,3,3,5],[3,3,5,6],[3,3,11],[3,5,9],[5,6,6],[6,11]]
[6,4,10,7,11,8], 22	[[4,4,4,4,6],[4,4,4,10],[4,4,6,8],[4,4,7,7],[4,6,6,6],[4,7,11],[4,8,10],[6,6,10],[6,8,8],[7,7,8],[11,11]]
[7,5,8,12,3,10,9,4,11,6], 21	[[3,3,3,3,3,3,3],[3,3,3,3,3,6],[3,3,3,3,4,5],[3,3,3,3,9],[3,3,3,4,4,4],[3,3,3,4,8],[3,3,3,5,7],[3,3,3,6,6],[3,3,3,12],[3,3,4,4,7],[3,3,4,5,6],[3,3,4,11],[3,3,5,5,5],[3,3,5,10],[3,3,6,9],[3,3,7,8],[3,4,4,4,6],[3,4,4,5,5],[3,4,4,10],[3,4,5,9],[3,4,6,8],[3,4,7,7],[3,5,5,8],[3,5,6,7],[3,6,6,6],[3,6,12],[3,7,11],[3,8,10],[3,9,9],[4,4,4,4,5],[4,4,4,9],[4,4,5,8],[4,4,6,7],[4,5,5,7],[4,5,6,6],[4,5,12],[4,6,11],[4,7,10],[4,8,9],[5,5,5,6],[5,5,11],[5,6,10],[5,7,9],[5,8,8],[6,6,9],[6,7,8],[7,7,7],[9,12],[10,11]]
[8,5,4,6,9], 27	[[4,4,4,4,5,6],[4,4,4,5,5,5],[4,4,4,6,9],[4,4,5,5,9],[4,4,5,6,8],[4,5,5,5,8],[4,5,6,6,6],[4,5,9,9],[4,6,8,9],[5,5,5,6,6],[5,5,8,9],[5,6,8,8],[6,6,6,9],[9,9,9]]
[7,8,11,12,3,5], 16	[[3,3,3,7],[3,3,5,5],[3,5,8],[5,11],[8,8]]
[7,12,5,10,9,4,6,8], 32	[[4,4,4,4,4,4,4,4],[4,4,4,4,4,4,8],[4,4,4,4,4,5,7],[4,4,4,4,4,6,6],[4,4,4,4,4,12],[4,4,4,4,5,5,6],[4,4,4,4,6,10],[4,4,4,4,7,9],[4,4,4,4,8,8],[4,4,4,5,5,5,5],[4,4,4,5,5,10],[4,4,4,5,6,9],[4,4,4,5,7,8],[4,4,4,6,6,8],[4,4,4,6,7,7],[4,4,4,8,12],[4,4,4,10,10],[4,4,5,5,5,9],[4,4,5,5,6,8],[4,4,5,5,7,7],[4,4,5,6,6,7],[4,4,5,7,12],[4,4,5,9,10],[4,4,6,6,6,6],[4,4,6,6,12],[4,4,6,8,10],[4,4,6,9,9],[4,4,7,7,10],[4,4,7,8,9],[4,4,8,8,8],[4,4,12,12],[4,5,5,5,5,8],[4,5,5,5,6,7],[4,5,5,6,6,6],[4,5,5,6,12],[4,5,5,8,10],[4,5,5,9,9],[4,5,6,7,10],[4,5,6,8,9],[4,5,7,7,9],[4,5,7,8,8],[4,6,6,6,10],[4,6,6,7,9],[4,6,6,8,8],[4,6,7,7,8],[4,6,10,12],[4,7,7,7,7],[4,7,9,12],[4,8,8,12],[4,8,10,10],[4,9,9,10],[5,5,5,5,5,7],[5,5,5,5,6,6],[5,5,5,5,12],[5,5,5,7,10],[5,5,5,8,9],[5,5,6,6,10],[5,5,6,7,9],[5,5,6,8,8],[5,5,7,7,8],[5,5,10,12],[5,6,6,6,9],[5,6,6,7,8],[5,6,7,7,7],[5,6,9,12],[5,7,8,12],[5,7,10,10],[5,8,9,10],[5,9,9,9],[6,6,6,6,8],[6,6,6,7,7],[6,6,8,12],[6,6,10,10],[6,7,7,12],[6,7,9,10],[6,8,8,10],[6,8,9,9],[7,7,8,10],[7,7,9,9],[7,8,8,9],[8,8,8,8],[8,12,12],[10,10,12]]
[4,8,11,10,9,3,12,7,6], 25	[[3,3,3,3,3,3,3,4],[3,3,3,3,3,3,7],[3,3,3,3,3,4,6],[3,3,3,3,3,10],[3,3,3,3,4,9],[3,3,3,3,6,7],[3,3,3,4,4,4,4],[3,3,3,4,4,8],[3,3,3,4,6,6],[3,3,3,4,12],[3,3,3,6,10],[3,3,3,7,9],[3,3,3,8,8],[3,3,4,4,4,7],[3,3,4,4,11],[3,3,4,6,9],[3,3,4,7,8],[3,3,6,6,7],[3,3,7,12],[3,3,8,11],[3,3,9,10],[3,4,4,4,4,6],[3,4,4,4,10],[3,4,4,6,8],[3,4,4,7,7],[3,4,6,6,6],[3,4,6,12],[3,4,7,11],[3,4,8,10],[3,4,9,9],[3,6,6,10],[3,6,7,9],[3,6,8,8],[3,7,7,8],[3,10,12],[3,11,11],[4,4,4,4,9],[4,4,4,6,7],[4,4,6,11],[4,4,7,10],[4,4,8,9],[4,6,6,9],[4,6,7,8],[4,7,7,7],[4,9,12],[4,10,11],[6,6,6,7],[6,7,12],[6,8,11],[6,9,10],[7,7,11],[7,8,10],[7,9,9],[8,8,9]]
[6,4,3,10,12], 28	[[3,3,3,3,3,3,3,3,4],[3,3,3,3,3,3,4,6],[3,3,3,3,3,3,10],[3,3,3,3,4,4,4,4],[3,3,3,3,4,6,6],[3,3,3,3,4,12],[3,3,3,3,6,10],[3,3,4,4,4,4,6],[3,3,4,4,4,10],[3,3,4,6,6,6],[3,3,4,6,12],[3,3,6,6,10],[3,3,10,12],[4,4,4,4,4,4,4],[4,4,4,4,6,6],[4,4,4,4,12],[4,4,4,6,10],[4,4,10,10],[4,6,6,6,6],[4,6,6,12],[4,12,12],[6,6,6,10],[6,10,12]]
[11,7,9,8,6,12], 34	[[6,6,6,7,9],[6,6,6,8,8],[6,6,7,7,8],[6,6,11,11],[6,7,7,7,7],[6,7,9,12],[6,8,8,12],[6,8,9,11],[7,7,8,12],[7,7,9,11],[7,8,8,11],[7,9,9,9],[8,8,9,9],[11,11,12]]
[6,3,5,8,7,12,11,9,4], 21	[[3,3,3,3,3,3,3],[3,3,3,3,3,6],[3,3,3,3,4,5],[3,3,3,3,9],[3,3,3,4,4,4],[3,3,3,4,8],[3,3,3,5,7],[3,3,3,6,6],[3,3,3,12],[3,3,4,4,7],[3,3,4,5,6],[3,3,4,11],[3,3,5,5,5],[3,3,6,9],[3,3,7,8],[3,4,4,4,6],[3,4,4,5,5],[3,4,5,9],[3,4,6,8],[3,4,7,7],[3,5,5,8],[3,5,6,7],[3,6,6,6],[3,6,12],[3,7,11],[3,9,9],[4,4,4,4,5],[4,4,4,9],[4,4,5,8],[4,4,6,7],[4,5,5,7],[4,5,6,6],[4,5,12],[4,6,11],[4,8,9],[5,5,5,6],[5,5,11],[5,7,9],[5,8,8],[6,6,9],[6,7,8],[7,7,7],[9,12]]
[5,8,10,9,4], 17	[[4,4,4,5],[4,4,9],[4,5,8],[8,9]]
[7,5,8,6,9], 24	[[5,5,5,9],[5,5,6,8],[5,5,7,7],[5,6,6,7],[6,6,6,6],[6,9,9],[7,8,9],[8,8,8]]
[11,3,10,5,8,9], 19	[[3,3,3,5,5],[3,3,3,10],[3,3,5,8],[3,5,11],[3,8,8],[5,5,9],[8,11],[9,10]]
[7,6,10,11,4,5], 23	[[4,4,4,4,7],[4,4,4,5,6],[4,4,4,11],[4,4,5,5,5],[4,4,5,10],[4,5,7,7],[4,6,6,7],[5,5,6,7],[5,6,6,6],[5,7,11],[6,6,11],[6,7,10]]
[7,11,12,4,8,10,6], 32	[[4,4,4,4,4,4,4,4],[4,4,4,4,4,4,8],[4,4,4,4,4,6,6],[4,4,4,4,4,12],[4,4,4,4,6,10],[4,4,4,4,8,8],[4,4,4,6,6,8],[4,4,4,6,7,7],[4,4,4,8,12],[4,4,4,10,10],[4,4,6,6,6,6],[4,4,6,6,12],[4,4,6,7,11],[4,4,6,8,10],[4,4,7,7,10],[4,4,8,8,8],[4,4,12,12],[4,6,6,6,10],[4,6,6,8,8],[4,6,7,7,8],[4,6,10,12],[4,6,11,11],[4,7,7,7,7],[4,7,10,11],[4,8,8,12],[4,8,10,10],[6,6,6,6,8],[6,6,6,7,7],[6,6,8,12],[6,6,10,10],[6,7,7,12],[6,7,8,11],[6,8,8,10],[7,7,7,11],[7,7,8,10],[8,8,8,8],[8,12,12],[10,10,12],[10,11,11]]
[6,3,10,8,4,5], 16	[[3,3,3,3,4],[3,3,4,6],[3,3,5,5],[3,3,10],[3,4,4,5],[3,5,8],[4,4,4,4],[4,4,8],[4,6,6],[5,5,6],[6,10],[8,8]]
[8,10,4,3,5], 18	[[3,3,3,3,3,3],[3,3,3,4,5],[3,3,4,4,4],[3,3,4,8],[3,5,5,5],[3,5,10],[4,4,5,5],[4,4,10],[5,5,8],[8,10]]
[11,5,12,3,10,8,9], 16	[[3,3,5,5],[3,3,10],[3,5,8],[5,11],[8,8]]
[12,9,3,10,6,7,4], 19	[[3,3,3,3,3,4],[3,3,3,3,7],[3,3,3,4,6],[3,3,3,10],[3,3,4,9],[3,3,6,7],[3,4,4,4,4],[3,4,6,6],[3,4,12],[3,6,10],[3,7,9],[4,4,4,7],[4,6,9],[6,6,7],[7,12],[9,10]]
[3,6,5,4,11,10,9,12], 21	[[3,3,3,3,3,3,3],[3,3,3,3,3,6],[3,3,3,3,4,5],[3,3,3,3,9],[3,3,3,4,4,4],[3,3,3,6,6],[3,3,3,12],[3,3,4,5,6],[3,3,4,11],[3,3,5,5,5],[3,3,5,10],[3,3,6,9],[3,4,4,4,6],[3,4,4,5,5],[3,4,4,10],[3,4,5,9],[3,6,6,6],[3,6,12],[3,9,9],[4,4,4,4,5],[4,4,4,9],[4,5,6,6],[4,5,12],[4,6,11],[5,5,5,6],[5,5,11],[5,6,10],[6,6,9],[9,12],[10,11]]
[4,6,9,3,12], 16	[[3,3,3,3,4],[3,3,4,6],[3,4,9],[4,4,4,4],[4,6,6],[4,12]]
