[]	[]
[[1]]	[1]
[[2,3]]	[2,3]
[[3],[2]]	[3,2]
[[6,9,7]]	[6,9,7]
[[7],[9],[6]]	[7,9,6]
[[1,2],[3,4]]	[1,2,4,3]
[[2,5],[8,4],[0,-1]]	[2,5,4,-1,0,8]
[[2,5,8],[4,0,-1]]	[2,5,8,-1,0,4]
[[1,2,3],[4,5,6],[7,8,9]]	[1,2,3,6,9,8,7,4,5]
[[1,2,3,4,5,6,7,8,9,10]]	[1,2,3,4,5,6,7,8,9,10]
[[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]]	[1,2,3,4,5,6,7,8,9,10]
[[1,2,3,4],[5,6,7,8],[9,10,11,12],[13,14,15,16]]	[1,2,3,4,8,12,16,15,14,13,9,5,6,7,11,10]
[[1,2,3,4,5],[6,7,8,9,10],[11,12,13,14,15],[16,17,18,19,20],[21,22,23,24,25]]	[1,2,3,4,5,10,15,20,25,24,23,22,21,16,11,6,7,8,9,14,19,18,17,12,13]
[[1,2,3,4],[5,6,7,8],[9,10,11,12]]	[1,2,3,4,8,12,11,10,9,5,6,7]
[[2,3,4],[5,6,7],[8,9,10],[11,12,13]]	[2,3,4,7,10,13,12,11,8,5,6,9]
[[1,2,3,4],[5,6,7,8],[9,10,11,12],[13,14,15,16],[17,18,19,20]]	[1,2,3,4,8,12,16,20,19,18,17,13,9,5,6,7,11,15,14,10]
[[1,2,3,4,5,6],[7,8,9,10,11,12],[13,14,15,16,17,18],[19,20,21,22,23,24],[25,26,27,28,29,30]]	[1,2,3,4,5,6,12,18,24,30,29,28,27,26,25,19,13,7,8,9,10,11,17,23,22,21,20,14,15,16]
[[1,2,3,4,5,6,7,8,9,10],[11,12,13,14,15,16,17,18,19,20]]	[1,2,3,4,5,6,7,8,9,10,20,19,18,17,16,15,14,13,12,11]
[[1,11],[2,12],[3,13],[4,14],[5,15],[6,16],[7,17],[8,18],[9,19],[10,20]]	[1,11,12,13,14,15,16,17,18,19,20,10,9,8,7,6,5,4,3,2]
[[1,2,3,4,5,6,7,8,9,10],[11,12,13,14,15,16,17,18,19,20],[21,22,23,24,25,26,27,28,29,30],[31,32,33,34,35,36,37,38,39,40],[41,42,43,44,45,46,47,48,49,50],[51,52,53,54,55,56,57,58,59,60],[61,62,63,64,65,66,67,68,69,70],[71,72,73,74,75,76,77,78,79,80],[81,82,83,84,85,86,86,86,86,86],[86,86,86,86,86,86,86,86,86,86]]	[1,2,3,4,5,6,7,8,9,10,20,30,40,50,60,70,80,86,86,86,86,86,86,86,86,86,86,86,81,71,61,51,41,31,21,11,12,13,14,15,16,17,18,19,29,39,49,59,69,79,86,86,86,86,85,84,83,82,72,62,52,42,32,22,23,24,25,26,27,28,38,48,58,68,78,77,76,75,74,73,63,53,43,33,34,35,36,37,47,57,67,66,65,64,54,44,45,46,56,55]
