[], [5,7]	[[5,7]]
[[1,5]], [2,3]	[[1,5]]
[[1,5]], [2,7]	[[1,7]]
[[1,5]], [5,7]	[[1,7]]
[[1,5]], [1,7]	[[1,7]]
[[1,5]], [6,8]	[[1,5],[6,8]]
[[1,5]], [0,3]	[[0,5]]
[[1,5]], [0,1]	[[0,5]]
[[1,5]], [0,0]	[[0,0],[1,5]]
[[1,5]], [0,5]	[[0,5]]
[[1,5]], [0,6]	[[0,6]]
[[1,5]], [1,5]	[[1,5]]
[[1,5],[6,8]], [5,6]	[[1,8]]
[[1,5],[6,8]], [3,7]	[[1,8]]
[[1,5],[6,8]], [0,9]	[[0,9]]
[[2,5],[6,7],[8,9]], [0,1]	[[0,1],[2,5],[6,7],[8,9]]
[[2,5],[6,7],[8,9]], [0,10]	[[0,10]]
[[2,4],[5,7],[8,10],[11,13]], [3,8]	[[2,10],[11,13]]
[[2,4],[5,7],[8,10],[11,13]], [3,6]	[[2,7],[8,10],[11,13]]
[[0,2],[3,5],[6,8],[10,12],[13,15]], [4,7]	[[0,2],[3,8],[10,12],[13,15]]
